Element_at_pct_Ti,Element_at_pct_Fe,Element_at_pct_V,Element_at_pct_Zr,Element_at_pct_Nb,Element_at_pct_Ni,Element_at_pct_Mn,Element_at_pct_Cr,Element_at_pct_Ce,Element_at_pct_Co,Element_at_pct_Cu,Element_at_pct_Mo,Element_at_pct_Ta,Element_at_pct_Y,Predicted_Capacity_wt
25.3,28.4,13.7,4.2,7.4,7.4,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
45.4,27.8,12.4,3.1,2.1,3.1,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
46.2,22.1,14.4,4.8,2.9,2.9,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
22.5,31.4,12.7,6.9,5.9,7.8,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
22.5,30.4,12.7,7.8,7.8,8.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
31.4,26.5,12.7,5.9,3.9,9.8,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
39.8,29.1,12.6,6.8,1.0,5.8,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
35.9,31.1,14.6,1.9,4.9,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
46.2,27.9,10.6,1.9,5.8,1.9,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.8,26.2,10.7,12.6,1.9,2.9,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
36.4,31.3,12.1,12.1,6.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
36.5,25.0,10.6,6.7,0.0,9.6,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
47.6,22.3,10.7,13.6,0.0,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.2,23.5,14.7,8.8,5.9,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
33.3,32.4,11.8,2.9,7.8,9.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.1,22.7,13.4,9.3,1.0,3.1,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
36.3,28.4,13.7,8.8,1.0,9.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
30.3,25.3,14.1,5.1,3.0,9.1,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
41.3,27.9,13.5,11.5,1.9,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
43.7,23.3,13.6,8.7,5.8,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
43.6,21.8,11.9,4.0,5.0,4.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
48.5,24.3,11.7,10.7,1.9,1.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
29.5,29.5,14.3,13.3,8.6,2.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
38.8,27.6,11.2,3.1,3.1,6.1,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
25.7,27.7,13.9,9.9,8.9,9.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
40.6,21.8,11.9,12.9,4.0,5.9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
42.7,28.2,13.6,3.9,0.0,2.9,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
20.6,29.9,11.3,14.4,4.1,9.3,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
45.2,25.0,10.6,7.7,4.8,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
35.6,30.8,10.6,3.8,2.9,9.6,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
33.0,31.1,11.7,1.9,1.0,9.7,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
43.2,29.5,12.6,2.1,4.2,6.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
47.4,24.2,14.7,3.2,3.2,5.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
37.5,31.7,11.5,1.9,4.8,9.6,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
32.3,29.3,13.1,12.1,5.1,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8605922267596813
